word,meaning
moreover,（副）その上
shortly,（副）まもなく
besides,（副）その上
commonly,（副）一般に
overnight,（副）一晩中
correctly,（副）正しく
permanently,（副）永久に
sincerely,（副）心から
poorly,（副）下手に
additionally,（副）その上
healthily,（副）健康的に
worldwide,（副）世界中に
except,（前）〜を除いては
whereas,（接）～であるのに対して
whenever,（接）～するときはいつでも
wherever,（接）どこへ～しようとも
provided,（接）もし～ならば
concerning,（接）～に関して
sort,（動）分類する
bite,（動）噛む
feature,（動）主演させる
seek,（動）探す
lay,（動）置く
fit,（動）適している
lower,（動）低くする
ensure,（動）確実にする
review,（動）再検討する
stock,（動）商品を店に置いている
define,（動）定義する
stare,（動）じろじろ見る
launch,（動）発射する
wave,（動）波打つ
struggle,（動）奮闘する
conflict,（動）衝突する
impose,（動）課す
consist,（動）成り立っている
monitor,（動）監視する
imply,（動）暗示する
guarantee,（動）保証する
inform,（動）知らせる
convince,（動）納得させる
suspect,（動）疑う
conclude,（動）結論を下す
succeed,（動）成功する
witness,（動）目撃する
distinguish,（動）区別する
earn,（動）稼ぐ
expand,（動）拡大する
qualify,（動）資格を与える
import,（動）輸入する
relax,（動）くつろぐ
rush,（動）急いでいく
pause,（動）休止する
abuse,（動）虐待する
retire,（動）退職する
guess,（動）推測する
collapse,（動）崩壊する
deposit,（動）預ける
construct,（動）建設する
alter,（動）改める
ease,（動）和らげる
freeze,（動）凍る
calculate,（動）計算する
appreciate,（動）感謝する
convert,（動）変える
encounter,（動）遭遇する
compete,（動）競争する
reverse,（動）逆にする
confuse,（動）混乱させる
distribute,（動）分配する
broadcast,（動）放送する
burst,（動）破裂させる
disturb,（動）邪魔をする
hire,（動）雇う
resist,（動）抵抗する
deserve,（動）値する
disappoint,（動）がっかりさせる
float,（動）浮かぶ
detect,（動）検出する
rescue,（動）救助する
behave,（動）ふるまう
participate,（動）参加する
fold,（動）折りたたむ
strengthen,（動）強固にする
impress,（動）印象を与える
chase,（動）追いかける
amaze,（動）驚かせる
absorb,（動）吸収する
forecast,（動）予測する
adapt,（動）適応させる
graduate,（動）卒業する
ruin,（動）だめにする
praise,（動）褒める
decrease,（動）減少する
educate,（動）教育する
compose,（動）創作する
puzzle,（動）当惑させる
admire,（動）関心する
rub,（動）こする
cancel,（動）取り消す
edit,（動）編集する
rob,（動）奪う
entertain,（動）楽しませる
interrupt,（動）中断させる
beg,（動）懇願する
dedicate,（動）捧げる
assert,（動）断言する
scratch,（動）引っ掻く
inherit,（動）受け継ぐ
invent,（動）発明する
spoil,（動）だめにする
assign,（動）割り当てる
dislike,（動）嫌う
rebuild,（動）改築する
spill,（動）こぼす
annoy,（動）イライラさせる
tremble,（動）震える
apologize,（動）謝る
reproduce,（動）複製する
astonish,（動）驚かす
cough,（動）咳をする
insult,（動）侮辱する
compensate,（動）埋め合わせをする
cooperate,（動）協力する
yell,（動）叫ぶ
bloom,（動）咲く
accomplish,（動）成し遂げる
postpone,（動）延期する
tolerate,（動）許容する
repay,（動）金銭を返す
install,（動）設置する
fasten,（動）締める
expire,（動）有効期限が切れる
pollute,（動）汚染する
adore,（動）大好きである
shorten,（動）短くする
rewrite,（動）書き出す
refund,（動）払い戻す
surf,（動）サーフィンをする
commute,（動）通勤・通学する
restart,（動）再開始する
reuse,（動）再利用する
bore,（動）うんざりさせる
emphasise,（動）強調する
former,（形）前の
royal,（形）王室の
prime,（形）最も重要な
responsible,（形）責任のある
senior,（形）先輩の
neither,（形）どちらも～でない
relevant,（形）関連した
additional,（形）追加の
initial,（形）最初の
formal,（形）正式の
rural,（形）田舎の
suitable,（形）適した
historical,（形）歴史の
apparent,（形）明白な
minimum,（形）最小の
capable,（形）有能な
typical,（形）典型的な
entire,（形）全体の
guilty,（形）有罪の
enormous,（形）ばく大な
smooth,（形）なめらかな
extensive,（形）広範囲にわたる
willing,（形）～しても構わないと思う
sudden,（形）突然の
dramatic,（形）劇的な
spare,（形）予備の
rapid,（形）急速な
absolute,（形）絶対的な
genuine,（形）本物の
classical,（形）古典的な
widespread,（形）広く行き渡った
anxious,（形）心配して
conscious,（形）意識して
concrete,（形）具体的な
